EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,EXPSQ,YEAR,LOGWKS,ID,EXPB,WKSB,OCCB,INDB,SOUTHB,SMSAB,UNIONB,EXPSQB                    
3,32,0,0,1,0,1,0,0,9,0,5.5606800,9,1,3.4657359,1,6,37.5714286,0,.4285714,1,0,0,40                   
4,43,0,0,1,0,1,0,0,9,0,5.7203100,16,2,3.7612001,1,6,37.5714286,0,.4285714,1,0,0,40                  
5,40,0,0,1,0,1,0,0,9,0,5.9964500,25,3,3.6888795,1,6,37.5714286,0,.4285714,1,0,0,40                  
6,39,0,0,1,0,1,0,0,9,0,5.9964500,36,4,3.6635616,1,6,37.5714286,0,.4285714,1,0,0,40                  
7,42,0,1,1,0,1,0,0,9,0,6.0614600,49,5,3.7376696,1,6,37.5714286,0,.4285714,1,0,0,40                  
8,35,0,1,1,0,1,0,0,9,0,6.1737900,64,6,3.5553481,1,6,37.5714286,0,.4285714,1,0,0,40                  
9,32,0,1,1,0,1,0,0,9,0,6.2441700,81,7,3.4657359,1,6,37.5714286,0,.4285714,1,0,0,40                  
30,34,1,0,0,0,1,0,0,11,0,6.1633100,900,1,3.5263605,2,33,31.5714286,1,.7142857,0,0,.1428571,1093     
31,27,1,0,0,0,1,0,0,11,0,6.2146100,961,2,3.2958369,2,33,31.5714286,1,.7142857,0,0,.1428571,1093     
32,33,1,1,0,0,1,0,1,11,0,6.2634000,1024,3,3.4965076,2,33,31.5714286,1,.7142857,0,0,.1428571,1093    
33,30,1,1,0,0,1,0,0,11,0,6.5439100,1089,4,3.4011974,2,33,31.5714286,1,.7142857,0,0,.1428571,1093    
34,30,1,1,0,0,1,0,0,11,0,6.6970300,1156,5,3.4011974,2,33,31.5714286,1,.7142857,0,0,.1428571,1093    
35,37,1,1,0,0,1,0,0,11,0,6.7912200,1225,6,3.6109179,2,33,31.5714286,1,.7142857,0,0,.1428571,1093    
36,30,1,1,0,0,1,0,0,11,0,6.8156400,1296,7,3.4011974,2,33,31.5714286,1,.7142857,0,0,.1428571,1093    
6,50,1,1,0,0,1,0,1,12,0,5.6524900,36,1,3.9120230,3,9,50.4285714,1,1,0,0,1,85    
7,51,1,1,0,0,1,0,1,12,0,6.4361500,49,2,3.9318256,3,9,50.4285714,1,1,0,0,1,85    
8,50,1,1,0,0,1,0,1,12,0,6.5482200,64,3,3.9120230,3,9,50.4285714,1,1,0,0,1,85    
9,52,1,1,0,0,1,0,1,12,0,6.6025900,81,4,3.9512437,3,9,50.4285714,1,1,0,0,1,85    
10,52,1,1,0,0,1,0,1,12,0,6.6958000,100,5,3.9512437,3,9,50.4285714,1,1,0,0,1,85  
11,52,1,1,0,0,0,0,1,12,0,6.7787800,121,6,3.9512437,3,9,50.4285714,1,1,0,0,1,85  
12,46,1,1,0,0,0,0,1,12,0,6.8606600,144,7,3.8286414,3,9,50.4285714,1,1,0,0,1,85  
31,52,1,0,0,1,0,1,0,10,1,6.1569800,961,1,3.9512437,4,34,47.8571429,1,0,0,1,0,1160                   
32,46,1,0,0,1,0,1,0,10,1,6.2383200,1024,2,3.8286414,4,34,47.8571429,1,0,0,1,0,1160                  
33,46,1,0,0,1,0,1,0,10,1,6.3007900,1089,3,3.8286414,4,34,47.8571429,1,0,0,1,0,1160                  
